Candidatura;Provincia;Candidatos;Nombre y Apellidos;twitter;web;facebook
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL;;;;@PSOE;;
;A Coruña;3;Pilar Cancela Rodríguez;@PiliCancela;;
;;;Pablo Arangüena Fernández;@PabloAranguena;;
;;;María Montserrat García Chavarría;;;
;Albacete;2;Manuel Gabriel González Ramos;;;
;;;María Luisa Vilches Ruiz;;;
;Alicante / Alacant;4;Pedro Francisco Duque Duque;@astro_duque;;
;;;Patricia Blanquer Alcaraz;@Patri_Blanquer;http://www.patriciablanquer.es/;
;;;Alejandro Soler Mur;@AlejandroSolerM;;
;;;Yolanda Seva Ruiz;@YOLANDASEVARUIZ;;
;Almería;2;José Guirao Cabrera;;;
;;;Sonia Ferrer Tesoro;@soniafetesoro@soniafetesoro;;
;Araba / Álava;1;María Isabel Celaá Diéguez;@isabelcelaa;;
;Asturias;3;Adriana Lastra Fernández;@Adrilastra;;
;;;María Luisa Carcedo Roces;@luisacarcedo;;
;;;Roberto García Morís;@MorisSiero;;
;Ávila;1;María Margarita Robles Fernández;;;
;Badajoz;3;Valentín García Gómez;@valentingarciag;;
;;;María Isabel García López;;;
;;;Mariano Sánchez Escobar;;;
;Barcelona;9;Meritxell Batet Lamaña;@meritxell_batet;;
;;;Francisco Polo Llavata;;;
;;;Mercè Perea Conillas;@MercePerea;;
;;;José Zaragoza Alonso;@J_Zaragoza_;;
;;;Lídia Guinart Moreno;@lidiaguinart;;
;;;Francisco Aranda Vargas;@arandapaco;;
;;;Carmen Andrés Añón;@carmenandres_;;
;;;Arnau Ramírez Carner;@arnauramirez;;
;;;Sònia Guerra López;@SonyaGuerraLpz;;
;Bizkaia;2;Patxi López Alvarez;@patxilopez;;
;;;María Guijarro Ceballos;@Maritxu30;;
;Burgos;2;Esther Peña Camarero;@estherpcamarero;;
;;;Agustín Javier Zamarrón Moreno;;;
;Cáceres;2;Ana Belén Fernández Casero;@anabelenfergon;;
;;;César Joaquín Ramos Esteban;@CesarJRamos;;
;Cádiz;3;Fernando Grande-Marlaska Gómez;@Grande_Marlaska;;
;;;Eva Bravo Barco;@EvaBravoBarco;;
;;;Juan Carlos Campo Moreno;@Jccampm;;
;Cantabria;2;Luis Santos Clemente Guadilla;;;
;;;María Jesús Calva Ruiz;@MariaJeCalva3;;
;Castellón / Castelló;2;Susana Ros Martínez;@susana_ros;;
;;;Germán Renau Martínez;@germanrenau;;
;Ceuta;1;José Simón Marín;@pepesimonm;;
;Ciudad Real;2;Blanca Pilar Fernández Morena;@PilarFrg;;
;;;Miguel Angel González Caballero;@Migonzalezcaba;;
;Córdoba;2;Luis Planas Puchades;@LuisPlanas;;
;;;Rafaela Crespín Rubio;@rafi_crespin;;
;Cuenca;2;Luis Carlos Sahuquillo García;@lcsahuquillo;;
;;;Mariana de Gracia Canales Duque;@Graciacanales3;;
;Gipuzkoa;1;Odon Elorza Gonzalez;@odonelorza2011;https://www.odonelorza.com/;
